device_id,timestamp,meas_type,value,unit
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-07T12:20:28,PM25SENSOR,5.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-07T12:31:33,PM25SENSOR,4.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-07T12:41:33,PM25SENSOR,5.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-07T12:52:28,PM25SENSOR,2.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-07T13:15:14,PM25SENSOR,1.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-07T13:25:14,PM25SENSOR,2.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-07T13:45:33,PM25SENSOR,2.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-07T13:56:28,PM25SENSOR,3.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-07T14:18:09,PM25SENSOR,6.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-07T14:20:28,PM25SENSOR,5.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-07T14:28:09,PM25SENSOR,6.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-07T14:31:33,PM25SENSOR,4.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-07T14:41:33,PM25SENSOR,5.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-07T14:52:28,PM25SENSOR,2.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-07T14:59:21,PM25SENSOR,9.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-07T15:09:21,PM25SENSOR,7.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-07T15:15:14,PM25SENSOR,1.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-07T15:25:14,PM25SENSOR,2.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-07T15:29:21,PM25SENSOR,12.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-07T15:39:21,PM25SENSOR,13.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-07T15:45:33,PM25SENSOR,2.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-07T15:56:28,PM25SENSOR,3.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-07T15:59:21,PM25SENSOR,18.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-07T16:09:21,PM25SENSOR,22.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-07T16:18:09,PM25SENSOR,6.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-07T16:28:09,PM25SENSOR,6.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-07T16:29:21,PM25SENSOR,27.0,µg/m3
08e2d921-2317-4642-b003-90bc1fce878a,2025-02-07T16:39:21,PM25SENSOR,28.0,µg/m3
