device_id,timestamp,meas_type,value,unit
e720f446-3626-4318-a136-079529b57492,2025-02-07T12:24:42,PM25SENSOR,1.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T12:44:44,PM25SENSOR,2.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T12:54:42,PM25SENSOR,2.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T13:15:00,PM25SENSOR,1.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T13:25:00,PM25SENSOR,1.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T13:45:02,PM25SENSOR,2.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T13:55:00,PM25SENSOR,2.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T14:15:18,PM25SENSOR,1.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T14:24:42,PM25SENSOR,1.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T14:25:36,PM25SENSOR,1.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T14:37:17,PM25SENSOR,1.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T14:44:44,PM25SENSOR,2.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T14:54:42,PM25SENSOR,2.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T15:02:03,PM25SENSOR,2.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T15:12:03,PM25SENSOR,2.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T15:15:00,PM25SENSOR,1.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T15:25:00,PM25SENSOR,1.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T15:32:03,PM25SENSOR,1.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T15:43:06,PM25SENSOR,2.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T15:45:02,PM25SENSOR,2.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T15:55:00,PM25SENSOR,2.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T16:03:06,PM25SENSOR,3.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T16:13:15,PM25SENSOR,2.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T16:15:18,PM25SENSOR,1.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T16:25:36,PM25SENSOR,1.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T16:33:15,PM25SENSOR,4.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T16:37:17,PM25SENSOR,1.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T16:43:15,PM25SENSOR,4.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T17:02:03,PM25SENSOR,2.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T17:03:15,PM25SENSOR,6.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T17:12:03,PM25SENSOR,2.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T17:13:15,PM25SENSOR,6.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T17:32:03,PM25SENSOR,1.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T17:33:24,PM25SENSOR,6.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T17:43:06,PM25SENSOR,2.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T17:43:24,PM25SENSOR,6.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T17:53:56,PM25SENSOR,5.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T18:03:06,PM25SENSOR,3.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T18:13:15,PM25SENSOR,2.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T18:15:05,PM25SENSOR,5.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T18:25:33,PM25SENSOR,5.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T18:33:15,PM25SENSOR,4.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T18:43:15,PM25SENSOR,4.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T18:47:05,PM25SENSOR,8.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T18:57:05,PM25SENSOR,8.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T19:03:15,PM25SENSOR,6.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T19:07:05,PM25SENSOR,9.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T19:13:15,PM25SENSOR,6.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T19:29:25,PM25SENSOR,7.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T19:33:24,PM25SENSOR,6.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T19:43:24,PM25SENSOR,6.0,µg/m3
e720f446-3626-4318-a136-079529b57492,2025-02-07T19:49:25,PM25SENSOR,4.0,µg/m3
